DialogueID,TriggerEvent,SpeakerType,Text_CN,Text_EN,AudioPath,Duration,NextDialogueID,ChoiceOptions
DLG_C2_015,PuppetFusion,Narrator,我们不是一个人，而是两个。但我们的心，紧紧相连。独立，但不孤独。分离，但不分开。,We are not one person but two. But our hearts are tightly connected. Independent but not lonely. Separated but not apart.,/Game/Audio/Dialogue/C2/DLG_C2_015.wav,7,,
DLG_C2_016,RedFlowerObtained,Narrator,第一朵花...红色，代表你。但还缺少另一朵。,The first flower... red representing you. But another is still missing.,/Game/Audio/Dialogue/C2/DLG_C2_016.wav,4,,
DLG_C2_017,ButterflyAppears,Narrator,蝴蝶...时间的使者。它连接着每一个重要的瞬间。,The butterfly... messenger of time. It connects every important moment.,/Game/Audio/Dialogue/C2/DLG_C2_017.wav,4,,
DLG_C2_018,ButterflyVisit1,Narrator,第一次见面...,The first meeting...,/Game/Audio/Dialogue/C2/DLG_C2_018.wav,2,,
DLG_C2_019,ButterflyVisit2,Narrator,珠宝的光芒...,The brilliance of jewels...,/Game/Audio/Dialogue/C2/DLG_C2_019.wav,2,,
DLG_C2_020,ButterflyVisit3,Narrator,永生的秘密...,The secret of immortality...,/Game/Audio/Dialogue/C2/DLG_C2_020.wav,2,,
DLG_C2_021,ButterflyVisit4,Narrator,安吉的分离...,The separation in Anji...,/Game/Audio/Dialogue/C2/DLG_C2_021.wav,2,,
DLG_C2_022,TimeWebFormed,Narrator,从相识，到珠宝展，到埃及展，再到安吉。每一个瞬间，都是我们的故事。时间流逝，但这些记忆，永远连接着我们。,From meeting to the jewelry exhibition to the Egyptian exhibition to Anji. Every moment is our story. Time passes but these memories forever connect us.,/Game/Audio/Dialogue/C2/DLG_C2_022.wav,10,,
DLG_C2_023,SymbolFusion,Narrator,第二个符号...现在的花朵。两朵花，独立但交织。红色是你，蓝色是我。我们不是一体，而是两个独立的生命。但我们的根，紧紧缠绕。这就是我们，此刻的我们。,The second symbol... the flower of the present. Two flowers independent but intertwined. Red is you blue is me. We are not one but two independent lives. But our roots are tightly entwined. This is us us at this moment.,/Game/Audio/Dialogue/C2/DLG_C2_023.wav,12,,
DLG_C2_024,ChapterEnd,Narrator,关系像植物，需要培育。阳光、水分、时间、空间——但最重要的是，耐心和理解。我们在成长，一起，也各自。,Relationships are like plants they need nurturing. Sunlight water time space— but most importantly patience and understanding. We are growing together and separately.,/Game/Audio/Dialogue/C2/DLG_C2_024.wav,10,,

SFX_C2_001,PlantSeed,SoundEffect,种植音效,Planting sound,/Game/Audio/SFX/C2/Plant_Seed.wav,0.5,,
SFX_C2_002,SkylightOpen,SoundEffect,天窗打开音效,Skylight opening sound,/Game/Audio/SFX/C2/Skylight_Open.wav,1,,
SFX_C2_003,Watering,SoundEffect,浇水音效,Watering sound,/Game/Audio/SFX/C2/Watering.wav,1.5,,
SFX_C2_004,ClockTick,SoundEffect,时钟滴答音效,Clock ticking sound,/Game/Audio/SFX/C2/Clock_Tick.wav,循环,,
SFX_C2_005,PlantGrow,SoundEffect,植物生长音效,Plant growing sound,/Game/Audio/SFX/C2/Plant_Grow.wav,3,,
SFX_C2_006,FlowerBloom,SoundEffect,花朵绽放音效,Flower blooming sound,/Game/Audio/SFX/C2/Flower_Bloom.wav,1,,
SFX_C2_007,ButtonPress,SoundEffect,按钮按下音效,Button press sound,/Game/Audio/SFX/C2/Button_Press.wav,0.5,,
SFX_C2_008,MirrorCrack,SoundEffect,镜子破裂音效,Mirror cracking sound,/Game/Audio/SFX/C2/Mirror_Crack.wav,2,,
SFX_C2_009,Fusion,SoundEffect,融合音效,Fusion sound,/Game/Audio/SFX/C2/Fusion.wav,2,,
SFX_C2_010,ButterflyFly,SoundEffect,蝴蝶飞行音效,Butterfly flying sound,/Game/Audio/SFX/C2/Butterfly_Fly.wav,循环,,
SFX_C2_011,SymbolGet,SoundEffect,符号获得音效,Symbol obtained sound,/Game/Audio/SFX/C2/Symbol_Get.wav,3,,
