RowName,DialogueID,SpeakerName,SpeakerNameEN,DialogueTextCN,DialogueTextEN,TriggerCondition,DialogueType,AudioPath,Duration
35,CH3_Final_Monologue,主角,Protagonist,"我终于明白了。永恒不是停止,而是流动。不是囚禁,而是选择。在时间的长河中,我选择与你一起,不断创造新的瞬间。这,就是我们的永恒。","I finally understand. Eternity is not stopping, but flowing. Not imprisonment, but choice. In the river of time, I choose to be with you, constantly creating new moments. This is our eternity.",OnFinalMonologue,Monologue,/Game/Audio/VO/CH3_Final_Monologue,15.0
36,CH3_OpenBox,系统,System,"现在,打开你面前的盒子。","Now, open the box in front of you.",OnOpenBoxPrompt,Instruction,/Game/Audio/VO/CH3_OpenBox,3.0
37,CH3_ClawMachine_Sound,系统,System,"(娃娃机运转声)","(Claw machine operating sound)",OnClawMachineOperate,Sound,/Game/Audio/SFX/ClawMachine_Operate,2.0
38,CH3_Prize_Drop,系统,System,"(掉落声+成功音效)","(Drop sound + success jingle)",OnPrizeDrop,Sound,/Game/Audio/SFX/Prize_Drop,1.5
39,CH3_Tickets_Pour,系统,System,"(彩票哗啦啦声)","(Tickets pouring sound)",OnTicketsPour,Sound,/Game/Audio/SFX/Tickets_Pour,3.0
40,CH3_Exchange_Machine,系统,System,"(8-bit兑换音乐)","(8-bit exchange music)",OnExchangeSound,Sound,/Game/Audio/SFX/Exchange_Machine,4.0
41,CH3_Gear_Install,系统,System,"(咔嚓声)","(Click sound)",OnGearInstall,Sound,/Game/Audio/SFX/Gear_Install,1.0
42,CH3_Clock_Tick,系统,System,"(滴答...滴答...)","(Tick... tock...)",OnClockStart,Sound,/Game/Audio/SFX/Clock_Tick,2.0
43,CH3_Bell_Chime,系统,System,"(当——)","(Dong—)",OnBellChime,Sound,/Game/Audio/SFX/Bell_Chime,3.0
44,CH3_Symbol_Fusion,系统,System,"(和谐共鸣)","(Harmonic resonance)",OnSymbolFusion,Sound,/Game/Audio/SFX/Symbol_Fusion,5.0
45,CH3_Hint_Cooperation,系统,System,"这台机器似乎需要两个人同时操作...试试双子按钮?","This machine seems to require two people to operate simultaneously... Try the twin button?",OnRequestHint_Cooperation,Hint,,4.0
46,CH3_Hint_TimeClue,系统,System,"完成的画作上似乎有什么线索...仔细观察画框。","There seems to be a clue on the completed painting... Observe the frame carefully.",OnRequestHint_TimeClue,Hint,,4.0
